nms_sigma,pre_nms_topk,max_seg_num,mAP_all,mAP_overlap,mAP_non_overlap,overlap_ratio,time_s
0.5,2000,2000,0.6903463563265715,0.20770293365223905,0.4370916201242352,0.14949374627754616,61.38781404495239
0.5,2000,3000,0.690391851486406,0.20771385778816764,0.4371177631981068,0.14949374627754616,77.93291115760803
0.5,2000,4000,0.6904124323560995,0.20771312352875518,0.4371323008609943,0.14949374627754616,86.66223168373108
0.5,2000,5000,0.6904218138104301,0.2077130240700389,0.43713856568563114,0.14949374627754616,92.31854724884033
0.5,3000,2000,0.6903299290909144,0.20770190080503464,0.43709706614314275,0.14949374627754616,65.21475148200989
0.5,3000,3000,0.6903663123841557,0.2077064262319556,0.43712003832344104,0.14949374627754616,77.59293937683105
0.5,3000,4000,0.6903808146907822,0.20770681412109077,0.4371280644791729,0.14949374627754616,88.94575905799866
0.5,3000,5000,0.6903928110794662,0.2077067992501394,0.43713861104992535,0.14949374627754616,110.33229327201843
0.5,4000,2000,0.6903299504573571,0.2077019112691915,0.4370968370454162,0.14949374627754616,110.93991446495056
0.5,4000,3000,0.690360772319489,0.20771259706157225,0.4371141615099464,0.14949374627754616,130.82833552360535
0.5,4000,4000,0.6903724124265143,0.20771044142139514,0.4371217361000279,0.14949374627754616,147.1272041797638
0.5,4000,5000,0.6903834389237995,0.20771050434337263,0.43713149864442774,0.14949374627754616,164.5460605621338
0.5,5000,2000,0.6903299530346397,0.2077019112275019,0.43709683938683275,0.14949374627754616,104.22715973854065
0.5,5000,3000,0.6903600817994148,0.20771244595100063,0.4371138287834727,0.14949374627754616,131.87086582183838
0.5,5000,4000,0.6903685013936375,0.20770994660492553,0.4371204114485277,0.14949374627754616,134.93083667755127
0.5,5000,5000,0.6903772051085916,0.20770855348534717,0.4371281601737917,0.14949374627754616,103.0582492351532
0.5,6000,2000,0.6903299529147244,0.2077019086049528,0.43709683861343224,0.14949374627754616,68.37822699546814
0.5,6000,3000,0.6903568777227506,0.20771040618585945,0.4371111271629527,0.14949374627754616,83.10313820838928
0.5,6000,4000,0.6903664820300554,0.20770814993947648,0.43711965762391003,0.14949374627754616,92.6839530467987
0.5,6000,5000,0.690374092249466,0.20770676140985772,0.4371265854501032,0.14949374627754616,101.76660490036011
0.55,2000,2000,0.6905804415209378,0.2077188348241393,0.4374212329697006,0.14949374627754616,63.9040801525116
0.55,2000,3000,0.6906233040914369,0.20772686293933287,0.43744082636587756,0.14949374627754616,81.77687954902649
0.55,2000,4000,0.690638850675892,0.2077271776123429,0.43745151601219134,0.14949374627754616,90.59582090377808
0.55,2000,5000,0.6906457863967375,0.20772700344397083,0.4374571219460135,0.14949374627754616,96.83496952056885
0.55,3000,2000,0.6905653659873547,0.207716678836018,0.4374281656040796,0.14949374627754616,65.75494337081909
0.55,3000,3000,0.6906020164748833,0.2077212916118584,0.43744295867854943,0.14949374627754616,79.85913181304932
0.55,3000,4000,0.6906189078046767,0.20772117240883908,0.43745380727782734,0.14949374627754616,92.63930106163025
0.55,3000,5000,0.6906271829517798,0.20772113698035652,0.43746184612542266,0.14949374627754616,101.38628458976746
0.55,4000,2000,0.6905648844152654,0.2077166895347661,0.4374279760993668,0.14949374627754616,67.00592517852783
0.55,4000,3000,0.690600561767667,0.20772735354260705,0.43743985229502497,0.14949374627754616,80.48386788368225
0.55,4000,4000,0.6906115210826486,0.20772507263206413,0.4374476475837013,0.14949374627754616,92.93922996520996
0.55,4000,5000,0.6906222503915147,0.20772510200388386,0.43745885016484803,0.14949374627754616,104.51610064506531
0.55,5000,2000,0.6905648859482938,0.20771668937082585,0.43742797876397865,0.14949374627754616,68.1800971031189
0.55,5000,3000,0.6905994905970136,0.20772632407078015,0.43743950280759647,0.14949374627754616,81.81391096115112
